text,label
overdose patient not responding naloxone needed,Critical
severe traumatic injury amputation needed bleeding uncontrolled,Critical
diabetic emergency glucose very low unresponsive convulsing,Critical
agonal breathing gasping irregular no proper respiration,Critical
gunshot wound abdomen bowel visible massive bleeding,Critical
explosion victim burns covering 60 percent body,Critical
lightning strike victim burned unconscious no pulse,Critical
carbon monoxide exposure multiple victims confused disoriented,Critical
choking full airway obstruction cannot breathe cannot speak,Critical
aortic dissection tearing chest pain radiating back shock,Critical
tension pneumothorax one-sided chest trauma absent breath sounds,Critical
massive pulmonary embolism sudden collapse cyanosis,Critical
severe pediatric trauma fall from height unresponsive,Critical
maternal hemorrhage postpartum heavy bleeding hypotensive,Critical
severe heat stroke core temperature 106 confused seizures,Critical
acute intracranial hemorrhage Glasgow score 8,Critical
multiple bee stings anaphylaxis throat swelling,Critical
electrical burn entry exit wounds arrhythmia,Critical
drowning near death bystander rescue not breathing,Critical
violent assault trauma penetrating wounds internal bleeding,Critical
industrial accident crush injury massive tissue damage,Critical
gas leak exposure victim collapsed convulsing,Critical
fracture with open bone leg heavy arterial bleeding,Critical
meningococcal septicemia petechial rash confused hypotensive,Critical
necrotizing fasciitis rapidly spreading infection toxic shock,Critical
severe earthquake injury trapped under rubble,Critical
child abuse severe beating unconscious bruising extensive,Critical
elder neglect severe dehydration malnutrition unconscious,Critical
fracture femur elderly fall hip pain unable to walk,Urgent
laceration deep arm bleeding controlled pressure applied,Urgent
moderate burn hand finger splashing hot oil,Urgent
abdominal pain localized right lower quadrant fever,Urgent
pneumonia high fever shortness breath elderly,Urgent
uti severe pain urination fever flank,Urgent
pancreatitis severe epigastric pain radiating back,Urgent
pulmonary edema severe shortness breath orthopnea,Urgent
vertigo severe room spinning unable to stand,Urgent
migraine severe photophobia vomiting unable to function,Urgent
cellulitis limb spreading redness warmth fever,Urgent
abscess infected painful swelling needing drainage,Urgent
testicular pain acute severe nausea,Urgent
ovarian cyst rupture severe abdominal pain,Urgent
uti pyelonephritis fever shaking chills back pain,Urgent
COPD exacerbation severe shortness breath wheezing,Urgent
angina chest pain pressure on exertion nitrates taken,Urgent
gastrointestinal bleeding moderate hematochezia,Urgent
renal colic severe flank pain radiating groin,Urgent
ureteral stone obstruction severe colicky pain,Urgent
fracture wrist fall forward arm twisted pain,Urgent
fracture ankle twisted severe swelling unable to bear weight,Urgent
dislocated elbow trauma severe pain deformity,Urgent
knee injury twisted unable to straighten locked,Urgent
shoulder dislocation traumatic severe pain arm,Urgent
rib fractures multiple pain breathing splinting needed,Urgent
pelvic strain fall severe pain moving,Urgent
spinal strain lifting heavy acute pain,Urgent
whiplash automobile collision neck pain restricted,Urgent
concussion fall brief loss consciousness now dizzy,Urgent
minor stroke TIA symptoms resolved but risk,Urgent
temporal arteritis severe headache jaw claudication,Urgent
herniated disc severe back pain radiculopathy,Urgent
spinal cord compression progressive weakness legs,Urgent
sickle cell crisis severe bone pain crisis,Urgent
lupus flare severe joint pain rash fever,Urgent
rheumatoid arthritis acute severe flare,Urgent
gout acute severe toe pain unable to walk,Urgent
cellulitis face orbital involvement vision,Urgent
mastitis breastfeeding severe breast pain fever,Urgent
prostatitis severe pain urination fever,Urgent
pid severe pelvic pain fever discharge,Urgent
ovarian torsion sudden severe lower pain,Urgent
ectopic pregnancy severe abdominal pain bleeding,Urgent
miscarriage heavy bleeding cramps,Urgent
severe asthma peak flow 200 wheezing,Urgent
anemia severe fatigue shortness breath hemoglobin low,Urgent
thyroid storm severe tachycardia confusion,Urgent
adrenal crisis severe hypotension vomiting,Urgent
pancreatic pseudocyst acute severe pain,Urgent
biliary colic severe RUQ pain after fatty meal,Urgent
cholecystitis acute severe RUQ pain fever,Urgent
bowel obstruction severe distension vomiting,Urgent
diverticulitis severe LLQ pain fever,Urgent
perianal abscess severe pain walking,Urgent
hemorrhoids thrombosed severe rectal pain,Urgent
anal fissure severe pain defecation,Urgent
ulcerative colitis severe bloody diarrhea,Urgent
crohns disease severe abdominal pain obstruction,Urgent
peptic ulcer severe epigastric pain bleeding,Urgent
mallory-weiss tear severe hematemesis,Urgent
variceal bleeding severe hematemesis hypotension,Urgent
appendicitis classic RLQ pain fever anorexia,Urgent
peritonitis rigid abdomen severe pain fever,Urgent
mesenteric ischemia severe abdominal pain disproportionate,Urgent
aortic aneurysm leaking severe back pain,Urgent
iliac artery occlusion severe leg pain pulseless,Urgent
deep vein thrombosis swollen painful calf,Urgent
pulmonary embolism pleuritic chest pain shortness breath,Urgent
atrial fibrillation rapid ventricular response chest pain,Urgent
ventricular tachycardia pulse present unstable,Urgent
heart failure acute decompensated shortness breath,Urgent
aortic stenosis severe chest pain syncope,Urgent
mitral regurgitation acute severe pulmonary edema,Urgent
endocarditis fever murmur embolic phenomena,Urgent
myocarditis chest pain shortness breath fatigue,Urgent
pericarditis severe chest pain positional,Urgent
tamponade Beck triad hypotension distended neck veins,Urgent
aortic dissection classic tearing chest pain,Urgent
pulmonary hypertension severe shortness breath,Urgent
pulmonary fibrosis acute exacerbation,Urgent
pneumothorax spontaneous acute chest pain shortness breath,Urgent
pleural effusion severe shortness breath,Urgent
lung cancer massive hemoptysis,Urgent
bronchiectasis acute infection productive cough,Urgent
tb hemoptysis massive,Urgent
pneumonia community acquired fever productive cough,Urgent
lung abscess high fever foul sputum,Urgent
emphysema acute exacerbation severe dyspnea,Urgent
bronchiolitis infant severe respiratory distress,Urgent
croup barking cough stridor,Urgent
epiglottitis severe throat pain drooling,Urgent
peritonsillar abscess severe odynophagia,Urgent
ludwig angina floor mouth swelling,Urgent
retropharyngeal abscess severe neck pain fever,Urgent
esophageal rupture severe chest pain vomiting,Urgent
tracheal stenosis severe respiratory distress,Urgent
foreign body aspiration severe respiratory distress,Urgent
laryngospasm severe stridor,Urgent
anaphylaxis mild throat swelling epinephrine given,Urgent
angioedema mild lip swelling airway not compromised,Urgent
urticaria widespread itching rash,Urgent
